Bangkok Ayutthaya 78 78
Ayutthaya Angthong 39 117
Angthong Singburi 40 157
Singburi Chainat 57 214
Chainat Uthaithani 26 240
Uthaithani Nakornsawan 43 283
Nakornsawan Kamphaengphet 132 415
Kamphaengphet Tak 62 477
Tak Lampang 188 665
Lampang Lamphun 82 747
Lamphun ChiangMai 39 786
