Bangkok Ayutthaya 78
Ayutthaya Angthong 39
Angthong Singburi 40
Singburi Chainat 57
Chainat Uthaithani 26
Uthaithani Nakornsawan 43
Nakornsawan Kamphaengphet 132
Kamphaengphet Tak 62
Tak Lampang 188
Lampang Lamphun 82
Lamphun ChiangMai 39
