DonMueangInternationalAirport SamutSakhon 45 45
SamutSakhon GulfOfThailand 8 53  
GulfOfThailand PrachuapKhiriKhan 108 161
PrachuapKhiriKhan MyanMar 93 254
MyanMar PrachuapKhiriKhan 14 268
PrachuapKhiriKhan ChumPhon 87 355
ChumPhon SuratThani 142 497
SuratThani Krabi 147 644
Krabi KrabiInternationalAirport 31 675
