Bangkok SamutSakhon 38 38
SamutSakhon SamutSongkhram 38 76
SamutSongkhram Phetchaburi 57 133
Phetchaburi PrachuapKhiriKhan 158 291
PrachuapKhiriKhan Chumphon 175 466
Chumphon Ranong 126 592
Ranong SuratThani 184 776
SuratThani PhangNga 159 935
PhangNga Phuket 87 1022
